"CASEID","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1"
420,1,1,1,1,1,0,0,0,0,1,0
421,0,0,0,-5,-5,0,-5,-5,-5,-5,0
422,0,0,0,0,1,0,0,0,0,0,0
423,0,1,-5,-5,-5,0,0,0,0,0,-5
424,1,0,0,0,-5,-5,-5,1,-5,-5,-5
425,0,1,0,1,0,0,0,0,0,0,0
426,1,-5,0,0,0,0,0,0,0,0,0
427,-5,-5,-5,-5,1,0,-5,0,1,1,0
428,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-5
429,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
430,-5,-5,-5,-5,-5,1,-5,-5,-5,1,0
431,0,0,0,0,0,0,0,1,0,0,-5
432,-5,-5,-5,1,1,-5,-5,-5,1,-5,-5
433,0,-5,1,0,0,1,-5,-5,1,0,-5
434,0,0,0,0,0,0,0,0,0,0,0
435,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
436,0,0,0,0,0,0,0,0,0,0,1
437,0,0,0,0,0,0,0,0,0,0,0
438,0,1,1,1,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,0,0
440,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
441,1,0,0,-5,-5,-5,-5,-5,-5,-5,-5
442,0,0,0,0,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0,-5,-5,-5,-5
444,0,0,0,0,1,0,0,0,1,0,0
445,0,1,1,1,1,1,0,0,0,0,0
446,1,1,1,0,1,-5,-5,-5,-5,-5,-5
447,1,0,1,0,-5,-5,-5,0,-5,-5,-5
448,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
449,0,1,0,0,0,0,0,0,0,0,0
450,1,0,0,-5,-5,-5,-5,-5,-5,-5,-5
451,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
452,0,1,0,0,0,0,0,0,1,0,0
453,-5,0,0,1,0,-5,-5,-5,-5,-5,-5
454,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
455,0,1,0,0,0,0,0,0,0,1,1
456,0,0,0,0,0,0,0,0,0,0,0
457,0,0,0,0,0,0,0,0,0,0,0
458,0,0,0,1,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,0,0,0
461,0,0,0,0,1,0,0,0,0,1,0
462,0,0,0,0,0,0,0,0,0,0,0
463,1,-5,1,-5,-5,-5,-5,-5,-5,-5,-5
464,0,1,0,0,0,0,0,0,0,0,0
465,0,0,0,0,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0,0,0,0
467,0,-5,0,0,0,0,0,-5,-5,-5,-5
468,0,0,0,0,0,0,0,0,0,0,0
469,1,1,1,1,0,1,1,1,0,-5,-5
470,1,0,0,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0,0,0,-5
472,0,0,1,0,0,0,1,0,-5,1,-5
473,-5,-5,1,0,0,0,1,0,1,0,1
474,1,0,0,0,0,0,0,1,0,1,1
475,1,1,1,0,0,0,0,1,0,0,0
476,1,1,0,0,0,0,0,0,0,0,0
477,0,1,1,1,0,0,1,0,0,0,0
478,0,1,0,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0,0
480,0,0,0,1,0,0,0,0,0,0,0
481,1,1,1,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0,0,0,0,0
483,1,0,1,0,0,0,0,0,0,0,0
484,1,0,1,0,0,0,0,0,0,1,0
485,0,0,0,0,0,0,0,0,0,0,0
486,0,0,1,0,0,0,0,1,0,0,1
487,1,0,0,0,0,0,-5,0,0,0,0
488,1,0,0,0,0,0,0,0,0,0,1
489,0,0,0,0,0,0,0,0,0,0,0
490,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
491,0,0,1,0,0,0,0,0,0,0,0
