"CASEID","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3"
507,0,-4,1,-4,-4,-4,-4,-4
508,-4,-4,-5,-5,-5,-5,-5,-5
509,-5,-5,-5,-5,-5,-5,-5,-5
510,-5,-5,-5,-5,-5,-5,-5,-5
511,-5,-5,-5,-5,-5,-5,-5,-5
512,-4,-5,-5,-5,-5,-5,-5,-5
513,-4,-4,-4,1,-4,-4,-4,-4
514,0,-4,-4,-4,-4,-4,0,0
515,-5,-5,-5,-5,-5,-5,-5,-5
516,-5,-5,-5,0,0,0,1,-4
517,-4,0,-4,1,0,1,0,-4
518,1,0,1,1,1,0,1,-4
519,0,0,-4,-4,0,-4,0,-4
520,-4,-4,-4,-4,-4,-4,-4,-4
521,-4,0,-4,-4,-4,-4,-4,-4
522,-4,-5,-5,-5,-5,-4,-5,-4
523,-4,-5,-5,-5,-5,0,-4,-5
524,-5,-5,-5,-5,-5,-5,-5,-5
525,-4,-5,-5,-5,-5,-5,-5,-5
526,1,-4,0,-5,-5,-5,-5,-5
527,-4,-4,-4,-4,-4,-4,-4,-4
528,0,0,-4,-4,-4,-4,-4,1
529,-4,-5,-5,-5,-5,-5,-5,-5
530,-5,1,1,-4,-4,-4,-4,-4
531,-5,1,1,-4,-4,-4,1,-4
532,-5,-5,-5,-5,-5,-5,-5,-5
533,-4,-4,-4,-4,0,-4,-4,-4
534,0,-4,-4,-4,-4,-4,-4,-4
535,-5,1,-5,0,0,-4,-5,0
536,-4,-4,-4,0,-4,-4,0,-5
537,0,-5,-5,-5,1,-4,1,0
538,1,-4,0,1,-4,-4,-5,-4
539,-5,-5,-5,-5,-5,-5,-5,-5
540,-5,1,1,-4,-4,-4,-5,-5
541,-4,0,-4,1,-4,0,0,-4
542,-4,-4,0,-4,-4,0,-4,-4
543,0,-4,-4,-4,-4,1,1,1
544,-4,-4,-4,-4,-4,-4,-4,-4
545,-5,-5,-5,-5,-5,-5,-5,-5
546,-4,-4,-4,-4,-4,-4,-4,-4
547,0,-4,-4,-4,-4,-4,-4,-4
548,-4,-5,-4,-4,-4,-4,-4,-4
549,-4,-4,-4,-4,-4,-4,-4,-4
550,-4,-4,-4,-4,-4,-4,-4,-4
