,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH,AFQTP,TNFI,DIVORCE,MOVED,NUM_CHILDREN,STYPE
340,139901,1399,1,2,12,1987,118,2000,89,65,53,104,60,68,115,84,102.2,55,99.3,47,104.4,61,149,63,88100.0,0,0,2,1
341,139902,1399,1,2,3,1992,121,2000,92,46,41,115,84,41,114,82,86.0,18,80.2,9,94.7,37,98,63,88100.0,0,0,2,1
344,142305,1423,3,1,4,1987,98,2000,45,52,64,109,73,60,102,55,110.9,77,106.1,66,112.7,81,159,57,57900.0,0,0,5,1
349,144201,1442,1,2,11,1986,65,2000,1,23,19,65,1,47,88,22,105.3,63,90.5,25,121.0,92,161,10,50000.0,0,0,2,1
352,148903,1489,2,1,2,1987,84,2000,15,43,26,65,1,27,65,1,80.5,9,85.7,18,79.5,8,161,9,29100.0,1,0,4,1
354,149801,1498,3,1,7,1989,107,2000,67,50,55,115,84,67,123,94,89.2,23,85.7,18,96.1,39,130,-4,22415.0,1,0,2,1
356,149902,1499,3,1,11,1986,113,2000,80,66,71,116,86,68,109,73,97.9,45,106.1,66,87.8,21,164,50,33100.0,0,0,2,1
362,152201,1522,2,2,11,1989,117,2000,87,56,58,119,90,61,119,90,106.6,68,106.1,66,104.4,61,127,78,67070.0,0,0,1,1
363,152505,1525,3,1,8,1992,98,2000,44,28,30,104,60,31,103,58,81.8,12,80.2,9,86.0,18,96,25,33000.0,0,0,5,1
365,153302,1533,1,1,8,1989,82,2000,11,38,42,93,31,53,107,67,76.1,5,78.9,8,79.5,8,131,22,12016.0,0,0,2,1
366,153402,1534,1,1,1,1986,105,2000,63,63,57,99,48,70,111,76,102.2,55,92.5,32,112.7,81,174,23,96000.0,0,0,2,1
369,154603,1546,3,2,2,1986,95,2000,38,53,41,79,8,61,99,47,102.2,55,92.5,32,112.7,81,174,21,33500.0,0,0,3,1
370,154903,1549,3,1,11,1986,108,2000,71,63,30,72,3,25,65,1,76.1,5,58.6,0,104.4,61,164,25,34168.0,0,0,4,1
371,154904,1549,3,1,9,1988,79,2000,8,37,45,93,33,34,80,9,67.4,1,65.4,1,79.5,8,142,25,34168.0,0,0,4,1
